,Name,Discount price,Original price,Exchange upto,Rating,Review count
0,"realme 9i (Prism Black, 128 GB)","₹11,099","₹16,999",,4.5,"88,001 Ratings & 4,862 Reviews"
1,"realme 9i (Prism Blue, 128 GB)","₹11,099","₹16,999",,4.5,"88,001 Ratings & 4,862 Reviews"
2,"realme C31 (Dark Green, 32 GB)","₹9,299","₹10,999",,4.6,"36,498 Ratings & 1,375 Reviews"
3,Good One 2192,₹999,₹999,,4,187 Ratings & 24 Reviews
4,"realme C31 (Dark Green, 64 GB)","₹9,999","₹11,999",,4.4,"35,514 Ratings & 1,799 Reviews"
5,"realme C31 (Light Silver, 32 GB)","₹9,299","₹10,999",,4.6,"36,498 Ratings & 1,375 Reviews"
6,"APPLE iPhone 11 (Black, 128 GB)","₹41,990","₹48,900",,4.6,"1,30,995 Ratings & 8,302 Reviews"
7,IAIR D23,"₹1,097","₹1,099",,4.3,42 Ratings & 12 Reviews
8,"REDMI 10 (Midnight Black, 64 GB)","₹8,999","₹14,999",,4.3,"85,856 Ratings & 5,365 Reviews"
9,"APPLE iPhone 13 (Starlight, 128 GB)","₹59,990","₹69,900",,4.7,"79,146 Ratings & 3,488 Reviews"
10,IAIR D10,"₹1,161","₹1,199",,4,37 Ratings & 19 Reviews
11,IAIR D40,"₹1,319","₹1,319",,3.9,22 Ratings & 13 Reviews
12,"REDMI 10 (Pacific Blue, 64 GB)","₹8,999","₹14,999",,4.3,"85,856 Ratings & 5,365 Reviews"
13,"APPLE iPhone 11 (White, 128 GB)","₹41,990","₹48,900",,4.6,"1,30,995 Ratings & 8,302 Reviews"
14,"APPLE iPhone 11 (White, 64 GB)","₹35,990","₹43,900",,4.6,"1,30,995 Ratings & 8,302 Reviews"
15,"REDMI 10 (Caribbean Green, 64 GB)","₹8,999","₹14,999",,4.3,"85,856 Ratings & 5,365 Reviews"
16,IAIR D22,"₹1,120","₹1,120",,4.1,15 Ratings & 7 Reviews
17,IAIR D24,"₹1,128","₹1,128",,3.8,77 Ratings & 26 Reviews
18,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,999","₹14,999",,4.5,"32,129 Ratings & 1,467 Reviews"
19,"APPLE iPhone 13 (Green, 128 GB)","₹59,990","₹69,900",,4.7,"79,146 Ratings & 3,488 Reviews"
20,IAIR D41,"₹1,319","₹1,319",,3.4,24 Ratings & 7 Reviews
21,"realme C31 (Light Silver, 64 GB)","₹9,999","₹11,999",,4.4,"35,514 Ratings & 1,799 Reviews"
22,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,999","₹14,999",,4.5,"32,129 Ratings & 1,467 Reviews"
23,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)","₹34,999","₹74,999",,4.4,"10,331 Ratings & 959 Reviews"
